Population Size,Tournament Size,Crossover Rate,Best Value for Solution Found,Generation Solution Found
100,10,0.01,0.002336448598130841,547
100,10,0.02,0.002544529262086514,420
100,10,0.03,0.0024691358024691358,774
100,10,0.04,0.002403846153846154,121
100,10,0.05,0.002352941176470588,482
100,10,0.060000000000000005,0.002457002457002457,566
100,10,0.06999999999999999,0.0024154589371980675,560
100,10,0.08,0.0024449877750611247,875
100,10,0.09,0.0024691358024691358,116
100,10,0.09999999999999999,0.002386634844868735,791
100,10,0.11,0.0024691358024691358,893
100,10,0.12,0.0024752475247524753,428
100,10,0.13,0.002380952380952381,154
100,10,0.14,0.002398081534772182,961
100,10,0.15000000000000002,0.0024630541871921183,744
100,10,0.16,0.002386634844868735,641
100,10,0.17,0.0024937655860349127,446
100,10,0.18000000000000002,0.0024390243902439024,248
100,10,0.19,0.002531645569620253,565
100,10,0.2,0.0024752475247524753,415
100,10,0.21000000000000002,0.0024813895781637717,456
100,10,0.22,0.002398081534772182,966
100,10,0.23,0.0024096385542168677,521
100,10,0.24000000000000002,0.0024752475247524753,92
100,10,0.25,0.0023923444976076554,276
100,10,0.26,0.0024752475247524753,418
100,10,0.27,0.002403846153846154,256
100,10,0.28,0.0024330900243309003,633
100,10,0.29000000000000004,0.0024630541871921183,72
100,10,0.3,0.0025974025974025974,541
100,10,0.31,0.0025188916876574307,912
100,10,0.32,0.002570694087403599,416
100,10,0.33,0.002364066193853428,881
100,10,0.34,0.002380952380952381,362
100,10,0.35000000000000003,0.0024330900243309003,350
100,10,0.36000000000000004,0.002403846153846154,411
100,10,0.37,0.0025188916876574307,857
100,10,0.38,0.0025380710659898475,573
100,10,0.39,0.0024449877750611247,839
100,10,0.4,0.0024813895781637717,214
100,10,0.41000000000000003,0.0024691358024691358,157
100,10,0.42000000000000004,0.002506265664160401,352
100,10,0.43,0.0024630541871921183,979
100,10,0.44,0.002364066193853428,129
100,10,0.45,0.0025252525252525255,759
100,10,0.46,0.002398081534772182,57
100,10,0.47000000000000003,0.0024875621890547263,165
100,10,0.48000000000000004,0.0025,36
100,10,0.49,0.002364066193853428,609
100,10,0.5,0.0024449877750611247,357
100,10,0.51,0.0024937655860349127,290
100,10,0.52,0.0024691358024691358,781
100,10,0.53,0.0024813895781637717,610
100,10,0.54,0.0024509803921568627,772
100,10,0.55,0.002583979328165375,738
100,10,0.56,0.0024449877750611247,869
100,10,0.5700000000000001,0.002398081534772182,291
100,10,0.5800000000000001,0.0024449877750611247,709
100,10,0.59,0.002583979328165375,297
100,10,0.6,0.002386634844868735,987
100,10,0.61,0.0024154589371980675,144
100,10,0.62,0.0024096385542168677,561
100,10,0.63,0.0024509803921568627,202
100,10,0.64,0.0025380710659898475,426
100,10,0.65,0.0024691358024691358,801
100,10,0.66,0.0024875621890547263,481
100,10,0.67,0.0024752475247524753,62
100,10,0.68,0.0024691358024691358,255
100,10,0.6900000000000001,0.0024096385542168677,191
100,10,0.7000000000000001,0.0024691358024691358,689
100,10,0.7100000000000001,0.0026109660574412533,402
100,10,0.72,0.002364066193853428,981
100,10,0.73,0.0025188916876574307,209
100,10,0.74,0.0024449877750611247,229
100,10,0.75,0.0024096385542168677,51
100,10,0.76,0.002403846153846154,380
100,10,0.77,0.002457002457002457,284
100,10,0.78,0.0024449877750611247,933
100,10,0.79,0.0024691358024691358,936
100,10,0.8,0.0023923444976076554,932
100,10,0.81,0.0024154589371980675,462
100,10,0.8200000000000001,0.002398081534772182,559
100,10,0.8300000000000001,0.002364066193853428,85
100,10,0.8400000000000001,0.0024096385542168677,726
100,10,0.85,0.0024390243902439024,233
100,10,0.86,0.0025252525252525255,178
100,10,0.87,0.002544529262086514,84
100,10,0.88,0.0024449877750611247,588
100,10,0.89,0.0024271844660194173,407
100,10,0.9,0.002512562814070352,600
100,10,0.91,0.0024509803921568627,434
100,10,0.92,0.002386634844868735,798
100,10,0.93,0.0023752969121140144,818
100,10,0.9400000000000001,0.002506265664160401,832
100,10,0.9500000000000001,0.0024449877750611247,824
100,10,0.9600000000000001,0.002564102564102564,87
100,10,0.97,0.0025575447570332483,444
100,10,0.98,0.002570694087403599,302
100,10,0.99,0.002369668246445498,610
100,10,1.0,0.002347417840375587,676
